编号,模块,描述,类型,描述,估计点(预估),优先级,迭代计划
RT-422,杂项,作为用户，我希望我更新一卡通后，可以拥有和上一张卡一样的功能,story,,,B,
RT-421,杂项,作为用户，我希望可以上传自己学校的logo显示在后台界面上,story,,,B,
RT-417,考勤,作为管理员，我希望特殊考勤可以针对不同空间或分组,story,,,B,
RT-416,考勤,作为管理员，我希望可新增特殊考勤,story,,,B,
RT-415,考勤,作为管理员，我希望可以在设备上查看特殊考勤报表,story,,,B,
RT-414,考勤,作为管理员，我希望可以在设备上查看特殊考勤报表,story,,,B,
RT-413,考勤,作为管理员，我希望可以查看、编辑和删除特殊考勤,story,,,B,
RT-412,考勤,作为管理员，我希望可以按照年级班级新增课程考勤,story,,,B,
RT-411,考勤,作为管理员，我希望可以查看、编辑和删除课程考勤,story,,,B,
RT-410,考勤,作为管理员，我希望可以设置全校的离校考勤,story,,,B,
RT-409,考勤,作为管理员，我希望可以给离校考勤指定年级班级,story,,,B,
RT-408,考勤,作为管理员，我希望可以在后台查看离校考勤报表,story,,,B,
RT-407,考勤,作为管理员，我希望可以在后台查看离校考勤报表,story,,,B,
RT-406,考勤,作为管理员，我希望可以设置全校的离校考勤,story,,,B,
RT-405,后台审核,作为管理员，我希望可以批量审核\驳回公播素材和通知,story,,,B,
RT-404,后台审核,作为管理员，我希望审核\驳回公播素材、通知时，系统会发送短信验证审核者的身份,story,,,B,
RT-403,后台审核,作为管理员，我希望可以审核\驳回通知,story,,,B,
RT-402,后台审核,作为管理员，我希望可以审核\驳回公播素材,story,,,B,
RT-401,后台审核,作为管理员，我希望通知列表页面可以筛选待审核、已通过、已驳回的通知,story,,,B,
RT-400,后台审核,作为管理员，我希望公播素材管理页面可以筛选待审核、已通过、已驳回的视频素材,story,,,B,
RT-399,后台审核,作为管理员，我希望可以在后台指定审核管理员,story,,,B,
RT-390,考勤,作为教师，我希望在roomis终端可以修改学生的考勤结果,story,,,FB,
RT-389,考勤,作为教师，我希望在查看考勤统计时，有请假的学生列表,story,,,FB,27
RT-383,杂项,人脸识别做进Demo,story,,,,27
